City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
8,Georgetown,MY,76.98,thunderstorm with light rain,5.4112,100.3354,Cititel Penang
15,Ponta Do Sol,PT,67.71,clear sky,32.6667,-17.1,Hotel do Campo
16,Puerto Cabezas,NI,78.76,drizzle,14.0351,-83.3888,Cabaña Caribe
17,Gua Musang,MY,74.66,overcast clouds,4.8823,101.9644,Mines Inn Hotel
21,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Hotel Kununurra
28,Atuona,PF,78.55,clear sky,-9.8,-139.0333,Villa Enata
34,Maamba,ZM,69.1,overcast clouds,-17.3667,27.15,
40,San Patricio,US,73.49,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
41,Yeppoon,AU,71.38,few clouds,-23.1333,150.7333,Villa Mar Colina
54,Victoria,HK,77.18,scattered clouds,22.2855,114.1577,Mini Hotel Central
61,Kruisfontein,ZA,72.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
66,Ngawi,ID,76.89,broken clouds,-7.4038,111.4461,"""G.W.A. KOST"" NGAWI (dpn Klurahan KETANGGI)"
67,Avarua,CK,71.65,broken clouds,-21.2078,-159.775,Paradise Inn
79,Vao,NC,76.98,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
82,Bengkulu,ID,75.63,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
84,Viedma,AR,68.05,clear sky,-40.8135,-62.9967,Hotel Cristal
86,Bahia Blanca,AR,75.33,scattered clouds,-38.7196,-62.2724,Hotel Argos
87,Soe,ID,66.42,overcast clouds,-9.8607,124.284,Dena Hotel
89,Dingle,PH,77.88,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
94,Sao Filipe,CV,70.83,clear sky,14.8961,-24.4956,Hotel Xaguate
98,Houma,US,69.8,scattered clouds,29.5958,-90.7195,Courtyard by Marriott Houma
101,Carnarvon,AU,77.07,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
102,Marzuq,YE,71.78,clear sky,14.4,46.4667,
105,Kapaa,US,74.12,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
107,Mahishadal,IN,75.83,overcast clouds,22.1833,87.9833,Mishra machinery
108,Bandarbeyla,SO,77.85,clear sky,9.4942,50.8122,JABIR HOTEL
109,Bredasdorp,ZA,74.52,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
115,Geraldton,AU,70.21,light rain,-28.7667,114.6,Broadwater Mariner Resort
119,Port Alfred,ZA,71.94,clear sky,-33.5906,26.891,The Halyards Hotel
120,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
124,Cidreira,BR,78.84,clear sky,-30.1811,-50.2056,Hotel Castelo
129,Basco,PH,77.77,clear sky,20.4487,121.9702,Nathaniel's Lodge
132,East London,ZA,74.34,clear sky,-33.0153,27.9116,Tu Casa
139,Ambilobe,MG,75.61,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
149,Lima,PE,72.39,broken clouds,-12.0432,-77.0282,Hotel Kamana
156,Hilo,US,68.25,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
157,Adelaide,AU,67.15,clear sky,-34.9333,138.6,The Chancellor on Currie
158,Lahij,YE,77.18,few clouds,13.1667,44.5833,
159,Sawtell,AU,71.19,light rain,-30.3833,153.1,The Bungalow Sawtell
161,Kahului,US,73.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
168,Hualmay,PE,76.95,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
170,Vanimo,PG,78.78,scattered clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
171,Umm Lajj,SA,69.39,clear sky,25.0213,37.2685,Moon light Furnished Units
172,Wattegama,LK,75.83,moderate rain,6.7989,81.4808,
175,Richards Bay,ZA,71.08,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
176,Biak,ID,76.91,overcast clouds,-0.9131,122.8766,Penginapan Kim
182,Ballina,AU,69.01,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
195,Festus,US,69.49,overcast clouds,38.2206,-90.396,"Holiday Inn Express & Suites Festus - South St. Louis, an IHG Hotel"
206,Payo,ID,74.62,overcast clouds,-3.7508,103.6372,Mess keban agung
208,Puerto Penasco,MX,65.91,clear sky,31.3167,-113.5333,Playa Bonita Resort
209,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Pirineos
210,Coquimbo,CL,67.73,clear sky,-29.9533,-71.3436,Hotel San Juan
214,Colares,PT,68.29,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
218,San Angelo,US,71.94,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
224,Port Elizabeth,ZA,75.09,clear sky,-33.918,25.5701,39 On Nile Guest House
227,Coromandel,BR,79.43,broken clouds,-18.4733,-47.2003,Hotel Dona Adélia
228,Port Macquarie,AU,66.88,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
231,Cuamba,MZ,73.94,scattered clouds,-14.8031,36.5372,Hotel Vision
