City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vostok,RU,46.4856,135.8833,3.63,96,60,3.36,broken clouds
1,Qaanaaq,GL,77.484,-69.3632,-13.22,78,100,10.94,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,44.62,73,56,21.14,light rain
3,Srednekolymsk,RU,67.45,153.6833,-11.83,99,100,3.29,overcast clouds
4,Lagoa,PT,39.05,-27.9833,58.75,86,100,33.15,overcast clouds
5,Hachinohe,JP,40.5,141.5,31.87,84,53,4.43,broken clouds
6,Touros,BR,-5.1989,-35.4608,85.75,64,99,11.01,overcast clouds
7,Pacific Grove,US,36.6177,-121.9166,50.67,92,75,1.01,haze
8,Georgetown,MY,5.4112,100.3354,76.98,94,40,5.75,thunderstorm with light rain
9,Sorland,NO,67.667,12.6934,40.86,93,75,10.36,light rain
10,Busselton,AU,-33.65,115.3333,64.47,92,87,6.49,overcast clouds
11,Lipari,IT,38.4674,14.954,62.28,73,61,20.15,broken clouds
12,Vyazemskiy,RU,47.5378,134.7525,12.24,94,90,5.5,overcast clouds
13,Rikitea,PF,-23.1203,-134.9692,80.22,80,16,13.94,few clouds
14,Baykit,RU,61.67,96.37,3.07,99,97,1.72,overcast clouds
15,Ponta Do Sol,PT,32.6667,-17.1,67.71,63,2,0.92,clear sky
16,Puerto Cabezas,NI,14.0351,-83.3888,78.76,94,75,4.61,drizzle
17,Gua Musang,MY,4.8823,101.9644,74.66,98,100,1.23,overcast clouds
18,Yenangyaung,MM,20.4667,94.8833,83.48,40,5,6.55,clear sky
19,Mar Del Plata,AR,-38.0023,-57.5575,82.42,69,0,11.99,clear sky
20,Norman Wells,CA,65.282,-126.8329,-3.96,77,75,5.75,light snow
21,Kununurra,AU,-15.7667,128.7333,78.78,83,100,8.05,overcast clouds
22,Mataura,NZ,-46.1927,168.8643,43.48,100,40,2.8,scattered clouds
23,Schmalkalden,DE,50.7167,10.45,49.87,72,100,6.22,overcast clouds
24,Cherskiy,RU,68.75,161.3,-25.11,100,100,5.3,overcast clouds
25,Bethel,US,41.3712,-73.414,51.89,93,100,4.61,light rain
26,Albany,US,42.6001,-73.9662,56.3,75,81,1.01,broken clouds
27,Chokurdakh,RU,70.6333,147.9167,-24.65,100,70,7.43,broken clouds
28,Atuona,PF,-9.8,-139.0333,78.55,69,9,15.35,clear sky
29,Dasoguz,TM,41.8363,59.9666,37.35,65,100,11.5,overcast clouds
30,Diffa,NE,13.3154,12.6113,88.09,8,31,13.51,scattered clouds
31,Yellowknife,CA,62.456,-114.3525,7.41,80,75,6.91,broken clouds
32,Cayenne,GF,4.9333,-52.3333,80.64,1,100,11.5,light rain
33,Maldonado,UY,-34.6667,-54.9167,83.59,46,100,10.36,overcast clouds
34,Maamba,ZM,-17.3667,27.15,69.1,95,100,1.95,overcast clouds
35,Severo-Kurilsk,RU,50.6789,156.125,29.5,92,100,13.18,snow
36,Iskateley,RU,67.6803,53.1512,13.15,90,5,7.31,clear sky
37,Vila Velha,BR,-20.3297,-40.2925,89.55,67,40,12.66,scattered clouds
38,Saint Anthony,US,45.0205,-93.218,41.79,77,100,12.66,overcast clouds
39,Shimoda,JP,34.6667,138.95,60.12,75,100,5.57,overcast clouds
40,San Patricio,US,28.017,-97.5169,73.49,64,10,19.24,clear sky
41,Yeppoon,AU,-23.1333,150.7333,71.38,78,18,13.62,few clouds
42,Puerto Ayora,EC,-0.7393,-90.3518,85.96,84,16,5.01,few clouds
43,Cockburn Town,TC,21.4612,-71.1419,82.36,57,20,16.11,few clouds
44,Klamath Falls,US,42.2249,-121.7817,35.87,83,20,0.0,few clouds
45,Cape Town,ZA,-33.9258,18.4232,84.61,24,0,12.66,clear sky
46,Smithers,CA,54.7804,-127.1743,28.72,93,20,5.75,few clouds
47,Wucheng,CN,29.6008,118.175,50.4,91,100,4.52,overcast clouds
48,Provideniya,RU,64.3833,-173.3,-6.48,90,34,7.31,scattered clouds
49,Kenai,US,60.5544,-151.2583,29.03,91,100,19.57,light snow
50,Saint-Georges,GD,12.0564,-61.7485,83.88,61,40,25.32,scattered clouds
51,Nome,US,64.5011,-165.4064,-0.33,71,0,4.61,clear sky
52,Coihaique,CL,-45.5752,-72.0662,52.41,43,40,8.05,scattered clouds
53,Ternate,ID,0.8,127.4,81.28,78,92,3.65,overcast clouds
54,Victoria,HK,22.2855,114.1577,77.18,90,36,3.0,scattered clouds
55,Broome,US,42.2506,-75.833,57.38,69,75,5.75,broken clouds
56,Jiaozhou,CN,36.2839,120.0033,37.36,40,44,7.63,scattered clouds
57,Chuy,UY,-33.6971,-53.4616,81.27,51,100,8.99,overcast clouds
58,Port Hedland,AU,-20.3167,118.5667,86.05,70,16,8.05,few clouds
59,Salalah,OM,17.0151,54.0924,82.49,65,0,6.91,clear sky
60,Ushuaia,AR,-54.8,-68.3,40.62,81,75,6.91,broken clouds
61,Kruisfontein,ZA,-34.0033,24.7314,72.88,68,4,17.85,clear sky
62,Leningradskiy,RU,69.3833,178.4167,-9.45,83,95,15.57,overcast clouds
63,Solnechnyy,RU,50.7214,136.6319,12.87,95,100,5.41,overcast clouds
64,Jamestown,US,42.097,-79.2353,62.19,39,20,8.05,few clouds
65,Thompson,CA,55.7435,-97.8558,23.16,93,100,4.61,overcast clouds
66,Ngawi,ID,-7.4038,111.4461,76.89,93,66,1.21,broken clouds
67,Avarua,CK,-21.2078,-159.775,71.65,100,69,2.3,broken clouds
68,Rocha,UY,-34.4833,-54.3333,85.21,47,100,10.85,overcast clouds
69,Tasiilaq,GL,65.6145,-37.6368,23.16,86,100,8.75,light snow
70,New Norfolk,AU,-42.7826,147.0587,62.71,64,99,1.99,overcast clouds
71,Ribeira Grande,PT,38.5167,-28.7,61.2,88,75,32.21,mist
72,Laguna,US,38.421,-121.4238,55.98,84,0,6.91,clear sky
73,Hami,CN,42.8,93.45,49.21,39,95,9.71,overcast clouds
74,Husavik,IS,66.0449,-17.3389,29.93,60,89,26.19,overcast clouds
75,Dikson,RU,73.5069,80.5464,25.97,97,100,15.19,light snow
76,Saskylakh,RU,71.9167,114.0833,-7.82,88,98,9.06,overcast clouds
77,Hermanus,ZA,-34.4187,19.2345,83.8,52,9,9.26,clear sky
78,Kargat,RU,55.1956,80.2811,-4.43,100,82,4.63,broken clouds
79,Vao,NC,-22.6667,167.4833,76.98,79,100,7.27,overcast clouds
80,Dhidhdhoo,MV,6.8833,73.1,83.46,72,93,11.07,overcast clouds
81,Hobart,AU,-42.8794,147.3294,64.06,84,75,8.05,broken clouds
82,Bengkulu,ID,-3.8004,102.2655,75.63,93,100,8.48,moderate rain
83,Kaeo,NZ,-35.1,173.7833,60.33,91,100,3.49,overcast clouds
84,Viedma,AR,-40.8135,-62.9967,68.05,31,6,19.55,clear sky
85,Solwezi,ZM,-12.1688,26.3894,63.97,97,100,7.67,light rain
86,Bahia Blanca,AR,-38.7196,-62.2724,75.33,27,29,11.12,scattered clouds
87,Soe,ID,-9.8607,124.284,66.42,96,99,3.83,overcast clouds
88,Hofn,IS,64.2539,-15.2082,35.62,60,20,35.68,few clouds
89,Dingle,PH,10.9995,122.6711,77.88,81,45,7.54,scattered clouds
90,Kulhudhuffushi,MV,6.6221,73.07,83.55,72,100,11.39,overcast clouds
91,Mnogovershinnyy,RU,53.9353,139.9242,16.32,96,100,5.01,light snow
92,Port Hardy,CA,50.6996,-127.4199,44.6,100,100,2.3,light rain
93,Ostrovnoy,RU,68.0531,39.5131,31.73,79,4,18.66,clear sky
94,Sao Filipe,CV,14.8961,-24.4956,70.83,67,1,6.33,clear sky
95,Mbandaka,CD,0.0487,18.2603,82.08,61,95,3.53,overcast clouds
96,Fort Nelson,CA,58.8053,-122.7002,20.79,86,20,0.0,few clouds
97,Pemangkat,ID,1.1667,108.9667,80.6,80,100,4.32,overcast clouds
98,Houma,US,29.5958,-90.7195,69.8,81,40,10.36,scattered clouds
99,Bluff,NZ,-46.6,168.3333,43.81,89,47,5.86,scattered clouds
100,Homer,US,59.6425,-151.5483,26.8,76,100,14.0,light snow
101,Carnarvon,AU,-24.8667,113.6333,77.07,73,40,14.97,scattered clouds
