City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Zaragoza,ES,2022-03-12 23:38:26,41.6561,-0.8773,54.05,66,20,9.22
1,New Norfolk,AU,2022-03-12 23:39:46,-42.7826,147.0587,67.71,49,5,1.99
2,Mataura,NZ,2022-03-12 23:39:46,-46.1927,168.8643,64.47,45,6,2.28
3,Bilma,NE,2022-03-12 23:39:47,18.6853,12.9164,66.24,14,1,10.65
4,Atuona,PF,2022-03-12 23:39:47,-9.8,-139.0333,78.93,76,23,13.89
5,Nome,US,2022-03-12 23:39:47,64.5011,-165.4064,24.87,42,0,25.32
6,Beringovskiy,RU,2022-03-12 23:36:29,63.05,179.3167,10.89,76,2,10.0
7,Saint-Philippe,RE,2022-03-12 23:39:48,-21.3585,55.7679,76.59,88,68,12.33
8,Logansport,US,2022-03-12 23:39:48,40.7545,-86.3567,19.81,41,75,16.11
9,Puerto Ayora,EC,2022-03-12 23:39:49,-0.7393,-90.3518,77.56,98,31,1.99
10,Samana,DO,2022-03-12 23:39:49,19.2056,-69.3369,76.96,89,56,5.59
11,Petropavlovsk-Kamchatskiy,RU,2022-03-12 23:39:49,53.0452,158.6483,30.79,69,75,6.71
12,Quatre Cocos,MU,2022-03-12 23:39:50,-20.2078,57.7625,79.09,85,81,10.13
13,Cabo San Lucas,MX,2022-03-12 23:39:38,22.8909,-109.9124,76.6,46,0,13.8
14,Busselton,AU,2022-03-12 23:35:12,-33.65,115.3333,68.74,79,58,7.36
15,Esperance,AU,2022-03-12 23:39:51,-33.8667,121.9,67.84,63,64,5.93
16,Lumeje,AO,2022-03-12 23:39:51,-11.55,20.7833,63.57,92,98,2.82
17,Haines Junction,CA,2022-03-12 23:39:51,60.7522,-137.5108,21.15,68,100,8.05
18,Rikitea,PF,2022-03-12 23:39:52,-23.1203,-134.9692,79.92,71,60,14.14
19,Matay,EG,2022-03-12 23:39:52,28.419,30.7792,47.75,45,0,8.12
